rid,rkey,date,status,contact.id,comments,ip.address,long,lat,county,city,region,postal,url,intro logic,agree,userid,user,time,page.logic1,Copy of userid,policy.placement,healthcare.law,imm.law,photo.nonphoto.pk,hr,ns,jn,hr2,jn2,ns2,page.logic,am1,mm1,mm2,am2,am11,am21,mm11,mm21,correct.or.conf,rg,sb,rg.rg,rg.ad,rg.jc,rg.ak,sb.jb,sb.sb,sb.ks,sb.tv,health.ins.y,health.ins.r,health.ins.d,illegal.y,illegal.r,illegal.d,ideology,news.wsj,news.nyt,news.wp,news.usa,news.other,news.other.s,tv.cbs,tv.fox,tv.pbs,tv.nbc,tv.other,tv.abc,tv.others,cable.fox,cable.msnbc,cable.cspan,cable.bbc,cable.other,cable.cnn,cable.others,radio.npr,radio.rl,radio.ms,radio.other,radio.others,web.huff,web.drudge,web.portal,web.other,web.other.s,tv.days,attention,talk.politics,talk.other.politics,pid1,pid.other,pid2.r,pid2.d,pid2.other,therm.b,therm.r,therm.d,therm.w,therm.h,therm.l,therm.ill,open.closed,ww2.cas,fem.death,ww2.cas2,fem.death2,deport,deport.sure,imm,imm.sure,steagall,healthcare.pk1,healthbill,death.panel,medicare,future.increase,cuts.benefits,illegal,single.payer,upper.class,mammograms,tax.100k,welfare,blk.welfare,dkencouraging.dk.discouraging,reagan,clinton,wbush,obama,reagan2,clinton2,wbush2,obama2,pol.interest,vote.2010,contribute1,contact,attend,def.party,def.other,healthcare.law2,imm.law2,structure,certain,oneside,changeview,confident,curiosity,considerate,independence,obedience,sex,year.born,educ.s,income,religion,religion2,rel.freq,hispanic,white,black,native,asian,pacific,other.race,other.race2
29,252449,9/28/2010 19:03,Partial,,,171.64.150.137,-122.172,37.4178,United States,Stanford,CA,94305,srep0124,,I agree to participate,srep0124,,12,,,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,252450,9/28/2010 19:03,Partial,,,171.64.56.251,-122.172,37.4178,United States,Stanford,CA,94305,srep0125,,I agree to participate,srep0125,,30,,,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,252452,9/28/2010 20:45,Partial,,,171.64.26.223,-122.172,37.4178,United States,Stanford,CA,94305,srep0128,,I agree to participate,srep0128,,14,,,start,8,3,photo,,,,,,,,,,,,,Chancellor of Germany,,Don't Know,percent,,,0,0,0,0,0,1,0,0,2,7,2,5,5,2,Slightly liberal,,,,,,,,,,,,,,,,,,,,,NPR,,,,,,,,Other,"BoingBoing, Scientifc American online",0,A moderate amount,1,4,Other,"Fiscally conservative, socially liberal, insufficiently represented by any party.",,,,50,40,60,50,45,70,40,open,,,Russia,heart disease,Remained about the same,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,7,Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,252453,9/28/2010 19:09,Partial,,,171.65.114.60,-122.172,37.4178,United States,Stanford,CA,94305,srep0277,,I agree to participate,srep0277,,68,,,start,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,252457,9/28/2010 19:25,Partial,,,171.67.132.83,-122.172,37.4178,United States,Stanford,CA,94305,srep0121,,I agree to participate,srep0121,,21,,,end,,,nonphoto,Senator,President of France,Supreme Court Judge,,,,,Assemblywoman,Senator,,,,,,,percent,,,8,,,,6,,,,1,7,1,7,1,5,Very liberal,,NY Times,,, Other ,SF Chronicle,,,,,,,,,,,,,,,NPR,,,,,,,,Other,Google News,0,,2,1,Democrat,,,Strong,,100,15,70,75,100,100,100,closed,Poland,Heart Disease,,,Remained about the same,,Can  ask anyone they suspect of being an illegal immigrant for their papers,10,Don't Know,,,0,0,0,0,0,0,0,0,30%,5%,5%,Branch A,Increased,Decreased,Increased,Increased,,,,,6,10,10,10,5,Democrats,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
36,252458,9/28/2010 19:09,Partial,,,171.65.12.40,-122.172,37.4178,United States,Stanford,CA,94305,srep0193,,I agree to participate,srep0193,,18,,,start,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,252459,9/28/2010 19:21,Partial,,,171.65.100.167,-122.172,37.4178,United States,Stanford,CA,94305,srep0409,,I agree to participate,srep0409,,16,,,end,,,photo,,,,,senator,mayor,,,,house of representative,senator,,,,,percent,,,0,0,0,0,0,0,0,0,1,7,2,6,1,6,Moderate,,NY Times,,,,,,Fox,,NBC,,ABC,,,,,,,,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,A moderate amount,0,1,Democrat,,,Not very strong,,100,50,100,100,100,100,80,closed,United Kingdom,Heart Disease,,,Decreased,,Can  ask anyone they suspect of being an illegal immigrant for their papers,3,Don't Know,,,1,8,3,2,0,5,6,3,30%,10%,30%,Branch A,Increased,Decreased,Increased,Remained the Same,,,,,2,9,0,0,0,Democrats,,5,2,2,6,5,4,3,,,,,,,,,,,,,,,,,,,
38,252460,9/28/2010 19:20,Partial,,,171.64.24.82,-122.172,37.4178,United States,Stanford,CA,94305,srep0258,,I agree to participate,srep0258,,25,,,end,,,nonphoto,Senate Majority Leader,President of France,Secretary of Homeland Security,,,,,German Chancellor,Member of House of Representatives,,,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,1,7,3,7,3,6,Very liberal,,NY Times,,, Other ,CNN,,,,NBC,,,,,,,,,,,NPR,,,,,,,,,,2,A moderate amount,1,1,Democrat,,,Strong,,100,50,65,50,100,100,100,closed,Couldn't say,Heart Disease,,,Remained about the same,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,10,Ronald Reagan,Couldn't say,Couldn't say,,,,,,,,,40%,15%,25%,Branch A,Don't Know,Remained the Same,Increased,Increased,,,,,6,10,5,5,6,Don't Know,,8,0,2,3,2,2,2,4,4,4,6,Female,1980,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work","40,000",,,,,,,,,,,
47,252478,9/28/2010 19:23,Partial,,,171.65.100.167,-122.172,37.4178,United States,Stanford,CA,94305,srep0409,,I agree to participate,srep0409,,9,,,end,,,nonphoto,,,seantor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,252495,9/28/2010 19:44,Partial,,,171.64.28.55,-122.172,37.4178,United States,Stanford,CA,94305,srep0134,,I agree to participate,srep0134,,36,,,end,,,nonphoto,Senate Majority Leader,President of France,Cabinet Secretary of Homeland Security,,,,,Chancellor of Germany,House Minority Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,252549,9/28/2010 20:36,Partial,,,171.66.87.212,-122.172,37.4178,United States,Stanford,CA,94305,FY1000,,I agree to participate,FY1000,,4,,,end,,,photo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,252560,9/28/2010 20:48,Partial,,,171.66.87.212,-122.172,37.4178,United States,Stanford,CA,94305,FY1000,,I agree to participate,FY1000,,5,,,end,,,photo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,252589,9/28/2010 21:39,Partial,,,99.6.85.90,-121.8569,37.3073,United States,San Jose,CA,,srep0185,,I agree to participate,srep0185,,127,,,start,7,9,nonphoto,Senator Majority leader,President of France,Cabinet member,,,,,no idea,Repulican senator,,,,,,,regular,Don't Know,Couldn't Say,,,,,,,,,3,7,1,6,1,7,Slightly liberal,Wall Street Journal,NY Times,,,,,,,,,,,,,,,,,,,NPR,,,,,Huffington Post,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,,1,8,Democrat,,,Not very strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,252714,9/29/2010 2:00,Partial,,,76.102.48.37,-122.1424,37.4225,United States,Palo Alto,CA,,srep0124,,I agree to participate,srep0124,,11,,,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,253284,9/29/2010 11:09,Partial,,,76.102.48.37,-122.1424,37.4225,United States,Palo Alto,CA,,srep0124,,I agree to participate,srep0124,,26,,,end,,,photo,,,,Governor,Mayor,Lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,253311,9/29/2010 11:46,Partial,,,171.64.229.249,-122.172,37.4178,United States,Stanford,CA,94305,srep0278,,I agree to participate,srep0278,,22,,,end,,,nonphoto,US senator,France president,Sec Homeland Security,,,,,German Chancellor,Kentucky Senator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,253319,9/29/2010 11:54,Partial,,,171.64.229.249,-122.172,37.4178,United States,Stanford,CA,94305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,7,3,4,Slightly liberal,,,,, Other ,SF Chronicle; local city newspapers,CBS,,,NBC,,,,,,,,,,,NPR,,,,,,,,,,2,A little,2,2,Democrat,,,Strong,,85,40,70,85,85,85,60,closed,Couldn't say,Heart Disease,,,Remained about the same,,Couldn’t Say,,George W. Bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,253324,9/29/2010 11:53,Partial,,,171.65.61.162,-122.172,37.4178,United States,Stanford,CA,94305,srep0130,,I agree to participate,srep0130,,15,,,start,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,253351,9/29/2010 12:14,Partial,,,171.65.80.239,-122.172,37.4178,United States,Stanford,CA,94305,srep0172,,I agree to participate,srep0172,,14,,,start,,,photo,,,,,,,,,,,,,,,,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,254093,9/29/2010 18:42,Partial,,,171.64.28.43,-122.172,37.4178,United States,Stanford,CA,94305,srep0122,,I agree to participate,srep0122,,13,,,end,,,nonphoto,,President of France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,254149,9/29/2010 20:40,Partial,,,128.12.4.39,-122.172,37.4178,United States,Stanford,CA,94305,f.a.stan,,I agree to participate,f.a.stan,,24,,,start,6,0,photo,,,,,,,,,,,,,Chancellor of Germany,,Don't Know,percent,,,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,257027,10/1/2010 14:49,Partial,,,209.11.184.1,-122.3124,37.5488,United States,San Mateo,CA,,srep0354,,I agree to participate,srep0354,,10,,,start,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,259836,10/4/2010 17:41,Partial,,,171.65.29.253,-122.172,37.4178,United States,Stanford,CA,94305,srep0222,,I agree to participate,srep0222,,24,,,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,260645,10/5/2010 13:20,Partial,,,171.64.168.146,-122.172,37.4178,United States,Stanford,CA,94305,srep0195,,I agree to participate,srep0195,,60,,,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,260659,10/5/2010 14:10,Partial,,,171.65.57.100,-122.172,37.4178,United States,Stanford,CA,94305,srep0390,,I agree to participate,srep0390,,26,,,start,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,260664,10/5/2010 13:36,Partial,,,171.64.28.55,-122.172,37.4178,United States,Stanford,CA,94305,srep0307,,I agree to participate,srep0307,,9,,,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,260903,10/5/2010 16:19,Partial,,,76.126.128.237,-122.5023,37.9719,United States,San Rafael,CA,94901,srep0105,,I agree to participate,srep0105,,10,,,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,263505,10/8/2010 1:27,Partial,,,98.207.85.92,-122.1424,37.4225,United States,Palo Alto,CA,,srep0394,,I agree to participate,srep0394,,9,,,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,266861,10/12/2010 16:47,Partial,,,171.66.78.81,-122.172,37.4178,United States,Stanford,CA,94305,srep0173,,I agree to participate,srep0173,,72,,,end,,,nonphoto,PM of England,President of France,,,,,,Chancellor of Germany,US Senator???,,,,,,,regular,Don't Know,Stephen Breyer,,,,,,,,,2,6,2,5,2,6,Liberal,,,,, Other ,SJ Mercury News,,,,,,,,,,,,,,,,,,,,,,,,,0,A moderate amount,1,2,Democrat,,,Strong,,50,50,50,50,50,50,40,open,,,USSR,heart disease?,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,7,Ronald Reagan,Increases the Medicare payroll tax for upper‐income Americans,Limits future increases in payments to Medicare providers,,,,,,,,,33%,2%,4%,Branch B,,,,,Increased,Decreased,Increased,Increased,4,10,2,2,2,Don't Know,,6,4,5,5,4,5,5,5,3,3,6,Male,1967,"Bachelor's Degree, such as B.A., B.S., or A.B.","85,000",,,,,,,,,,,
218,271527,10/15/2010 15:14,Partial,,,171.64.241.202,-122.172,37.4178,United States,Stanford,CA,94305,srep0183,,I agree to participate,srep0183,,9,,,start,4,0,nonphoto,,,,,,,,,,,,Don't Know,,Don't Know,,regular,Don't Know,Couldn't Say,,,,,,,,,1,4,4,5,2,6,Very liberal,,NY Times,,,,,,,,,,,,,,,,,,,NPR,,,,,Huffington Post,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,Not at all,0,6,Democrat,,,Strong,,100,40,70,100,100,100,100,open,,,,,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,5,Don't Know,Couldn't say,Couldn't say,,,,,,,,,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,252651,9/28/2010 23:31,Complete,,,134.79.230.77,-122.1781,37.459,United States,Menlo Park,CA,94025,srep0329,,I agree to participate,srep0329,,74,,,start,6,2,nonphoto,Senate Majority Leader,President of France,Secretary of Homeland Security,,,,,,United States Senator,,,Chancellor of Germany,,,,percent,,,0,0,0,0,0,0,0,0,4,7,2,5,2,7,Slightly liberal,,,,, Other ,"local (SF, SJ, Palo Alto) papers",CBS,,,NBC,,ABC,,,MSNBC,,, Others ,CNN,Headline News,,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",Other,"websites of local, regional newspapers",7,A lot,1,7,Democrat,,,Not very strong,,60,40,60,70,60,70,40,open,,,USSR,heart disease,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,9,George H. Bush,,,0,0,6,3,2,0,7,6,20%,1%,10%,Branch A,Increased,Increased,Increased,Increased,,,,,3,9,0,1,2,Republicans,,,,4,5,5,3,2,3,4,3,5,Male,,"Bachelor's Degree, such as B.A., B.S., or A.B.",,Jewish,,Less often than a few times a year,No,White,,,,,,
