,misinfo,topic,polling_firm,sponsor,academic_comm,date,question,link,correct,leaning correct,incorrect,leaning incorrect,dk,not sure,refused_na,no opinion,undecided,misinformation,n_options,explicit_dk,explicit_ns,matter_of_opinion,n,mode,l_congenial_options,r_congenial_options,correct_valence ,prompt_type ,ire,footnotes
11,Y,Obama Citizenship,CBS News/New York Times,CBS News/New York Times,0,04/05-12/10,"According to the Constitution, American Presidents must be 'natural born citizens.' Some people say Barack Obama was not born in the United States, but was born in another country. Do you think Barack Obama was born in the United States, or do you think he was born in another country?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=according AND  to AND  the constitution AND  american AND  presidents AND  must AND  be AND  natural AND  born citizens AND  some AND  people AND  say AND  barack AND  obama&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=April 5-12, 2010&sample=1580&qstn_list=&qstnid=1760705&qa_list=&qstn_id4=1760705&study_list=&lastSearchId=317673058342&archno=USCBSNYT2010-04A&keywordDisplay=",58,0,20,0,22,0,0,0,0,,2,N,N,Y,"1,580",telephone,,,L,DYT,Y,Don't know/No answer (22%)
12,N,Trump Citizenship,Gallup Organization,Gallup/CNN/USA Today,0,04/20-23/11,"Do you think・ Donald Trump was definitely born in the United States, probably born in the United States, probably born in another country, definitely born in another country, or don't you know enough to say?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  barack AND  obama AND  was AND  definitely AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  another country or definitely AND  born AND  in AND  another AND  country&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=USA Today&studydate=April 20-23, 2011&sample=1013&qstn_list=&qstnid=1789932&qa_list=&qstn_id4=1789932&study_list=&lastSearchId=317673058324&archno=USAIPOUSA2011-07&keywordDisplay=",43,20,3,4,29,0,2,0,0,3,5,Y,N,Y,"1,013",telephone,,,L,DYT,N,"definitely born in the United States (43%), probably born in the United States (20%), probably born in another country (4%), definitely born in another country (3%), don't know enough to say (29%), refused (2%)"
13,N,Palin Citizenship,Gallup Organization,Gallup/CNN/USA Today,0,04/20-23/11,"Do you think・ Sarah Palin was definitely born in the United States, probably born in the United States, probably born in another country, definitely born in another country, or don't you know enough to say?*","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  barack AND  obama AND  was AND  definitely AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  another country or definitely AND  born AND  in AND  another AND  country&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=USA Today&studydate=April 20-23, 2011&sample=1013&qstn_list=&qstnid=1789931&qa_list=&qstn_id4=1789931&study_list=&lastSearchId=317673058316&archno=USAIPOUSA2011-07&keywordDisplay=",55,17,2,1,23,0,2,0,0,2,5,Y,N,Y,"1,013",telephone,,,L,DYT,N,"definitely born in the United States (55%), probably born in the United States (17%), probably born in another country (1%), definitely born in another country (2%), don't know enough to say (23%), refused (2%)"
14,Y,Obama Religion,ORC International,CNN,0,09/04-08/15,"Do you happen to know what religion Barack Obama is? Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or not religious?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Cable News Network&studydate=September 4-8, 2015&sample=1012&qstn_list=&qstnid=1869600&qa_list=&qstn_id4=1869600&study_list=&lastSearchId=317673058384&archno=USORCCNN2015-009&keywordDisplay=",39,0,48,0,0,0,0,14,0,,7,N,N,Y,"1,012",telephone,,,,DYHTK,N,
15,Y,Obama Religion,Gfk Knowledge Networks,AP,0,08/30/12-09/11/12,"Do you happen to know the religion of each of the following people? If you don't know, you can mark that too・Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion・Barack Obama",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Associated Press&studydate=01-JAN-34&sample=1071&qstn_list=&qstnid=1822656&qa_list=&qstn_id4=1822656&study_list=&lastSearchId=317673058505&archno=&keywordDisplay=,28,0,35,0,35,0,2,0,0,,6,Y,N,Y,"1,071",online,,,L,DYHTK,N,Refused/Not answerd (2%)
16,Y,Obama Religion,Princeton Survey Research Associates International,Pew Research Center for the People and the Press/Pew Forum on Religion and Public Life,0,06/28/12-07/09/12,"Now, thinking about Barack Obama's religious beliefs・Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnostic, or something else?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Pew Research Center for the People & the Press, Pew Forum on Religion & Public Life&studydate=June 28-July 10, 2012&sample=2973&qstn_list=&qstnid=1814730&qa_list=&qstn_id4=1814730&study_list=&lastSearchId=317673058517&archno=USPEW2012-RELIG&keywordDisplay=",45,0,17,0,36,0,1,0,0,,8,N,N,Y,"2,973",telephone,,,L,DYHTK,N,landline(1771)/cellular(1202)
17,Y,Obama Religion,Hart and McInturff Research Companies,NBC News/WSJ,0,06/20-24/12,"Do you know what Barack Obama's religion is? (If Yes, ask:) What religion is he?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=NBC News, Wall Street Journal&studydate=01-JAN-34&sample=1000&qstn_list=&qstnid=1813239&qa_list=&qstn_id4=1813239&study_list=&lastSearchId=317673058522&archno=&keywordDisplay=",43,0,17,0,0,40,0,0,0,,0,N,N,Y,"1,000",telephone,,,L,DYK,N,Not sure/Refused (40%)
18,Y,Obama Religion,Public Religion Research Institute,Public Religion Research Institute/Religion News Service,0,05/02-06/12,"Do you happen to know what・Barack Obama's religion is? Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=PRRI, Religion News Service&studydate=May 2-6, 2012&sample=1006&qstn_list=&qstnid=1810136&qa_list=&qstn_id4=1810136&study_list=&lastSearchId=317673058406&archno=USPRRI2012-05&keywordDisplay=",33,0,25,0,41,0,0,0,0,,7,N,N,Y,"1,006",telephone,,,L,DYHTK,N,CORRECT=Protestant (25%)+Christian (Vol.) (8%)
19,Y,Obama Religion,Latino Decisions,impreMedia,0,11/27/11-12/04-11,"Do you happen to know what・Barack Obama's religion is? Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=impreMedia&studydate=01-JAN-34&sample=500&qstn_list=&qstnid=1799325&qa_list=&qstn_id4=1799325&study_list=&lastSearchId=317673058537&archno=&keywordDisplay=,11,0,39,0,48,0,2,0,0,,7,N,N,Y,500,telephone,,,L,DYHTK,N,
20,Y,Obama Religion,Public Religion Research Institute,Public Religion Research Institute/Religion News Service,0,07/14-17/11,"Thinking about current political leaders・Do you happen to know what・Barack Obama's religion is? Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=PRRI, Religion News Service&studydate=July 14-17, 2011&sample=1012&qstn_list=&qstnid=1789264&qa_list=&qstn_id4=1789264&study_list=&lastSearchId=317673058539&archno=USPRRI2011-07&keywordDisplay=",34,0,26,0,40,0,0,0,0,,6,N,N,Y,"1,012",telephone,,,L,DYHTK,N,"CORRECT=Protestant (26%)+Christian (Vol.) (8%); 3 volunteered options: Christian (8%), Never heard of him/her (*), Don't know what their religious beliefs are (40%)"
21,Y,Obama Religion,"Abt SRBI, Inc.",Pew Research Center for the People and the Press/Pew Forum on Religion and Public Life,1,04/14/11-07/22/11,"Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hundu, atheist, agnostic, or something else?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Pew Research Center for the People & the Press, Pew Forum on Religion & Public Life&studydate=01-JAN-34&sample=1033&qstn_list=&qstnid=1791000&qa_list=&qstn_id4=1791000&study_list=&lastSearchId=317673058541&archno=&keywordDisplay=",55,0,11,0,33,0,1,0,0,,7,N,N,Y,"1,033",telephone,,,L,DYHTK,N,
22,Y,Obama Religion,Princeton Survey Research Associates International,Newsweek,0,08/25-26/10,"As far as you know, what is Barack Obama's religion? Is he a Christian, a Muslim, or something else?",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Newsweek&studydate=01-JAN-34&sample=1029&qstn_list=&qstnid=1769368&qa_list=&qstn_id4=1769368&study_list=&lastSearchId=317673058558&archno=&keywordDisplay=,42,0,34,0,24,0,0,0,0,,3,N,N,Y,"1,029",telephone,,,L,AFYK,N,landline(687)/cellular(332)
23,Y,Obama Religion,"Abt SRBI, Inc.",Time,0,08/16-17/10,Do you personally believe that Barack Obama is a Muslim or a Christian?,"https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  personally AND  believe AND  that AND  barack AND  obama AND  is a christian&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Time&studydate=August 16-17, 2010&sample=1002&qstn_list=&qstnid=1768979&qa_list=&qstn_id4=1768979&study_list=&lastSearchId=317673058895&archno=USSRBI2010-5122&keywordDisplay=",47,0,29,0,24,0,0,0,0,,2,N,N,Y,"1,002",telephone,,,L,DYPB,N,No answer/Don't know (24%)
24,Y,Obama Religion,Princeton Survery Research Associates International,Pew Research Center for the People and the Press/Pew Forum on Religion and Public Life,1,07/21/10-08/05/10,"Now, thinking about Barak Obama's religious beliefs・Do you happen to know what Barack Obama's religion is?  Is he Christian, Jewish, Muslim, Buddhist, Hindu, athiest, agnostic, or something else?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Pew Research Center for the People & the Press, Pew Forum on Religion & Public Life&studydate=July 21-August 5, 2010&sample=3003&qstn_list=&qstnid=1768825&qa_list=&qstn_id4=1768825&study_list=&lastSearchId=317673058562&archno=USPEW2010-RELIG&keywordDisplay=",34,0,21,0,43,0,2,0,0,,8,N,N,Y,"3,003",telephone,,,L,DYHTK,N,landline(2002)/cellular(1001)
25,Y,Obama Religion,Knowledge Networks,AP,0,12/23/10-01/10/11,"Do you happen to know the religion of each of the following people? If you don't know, you can mark that too・Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion・Barack Obama",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Associated Press&studydate=01-JAN-34&sample=1037&qstn_list=&qstnid=1825033&qa_list=&qstn_id4=1825033&study_list=&lastSearchId=317673058567&archno=&keywordDisplay=,26,0,31,0,41,0,1,0,0,,6,Y,N,Y,"1,037",online,,,L,DYHTK,N,Refused/Not answered (1%) 
26,Y,Obama Religion,Princeton Survey Research Associates International,Pew Research Center for the People and the Press,1,03/09-12/09,"Now, thinking about Barack Obama's religious beliefs・Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnostic, or something else? (If Don't know, probe:) Is that because you've heard of different things about his religion, or because you don't know enough about him?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Pew Research Center for the People & the Press&studydate=March 9-12, 2009&sample=1308&qstn_list=&qstnid=1748772&qa_list=&qstn_id4=1748772&study_list=&lastSearchId=317673058572&archno=USPEW2009-03POL&keywordDisplay=",48,0,11,0,34,0,6,0,0,,8,N,N,Y,"1,308",telephone,,,L,DYHTK,N,dk (34%) = Don't know-Heard different things (12%) + Don't know-Haven't heard enough (22%); landline(982)/cellular(326)
27,Y,Obama Religion,Princeton Survey Research Associates International,Pew Research Center for the People and the Press,1,10/16-19/08,"Now, thinking about Barack Obama's religious beliefs・Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnostic, or something else? (If Don't know, probe:) Is that because you've heard of different things about his religion, or because you don't know enough about him?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Pew Research Center for the People & the Press&studydate=October 16-19, 2008&sample=3016&qstn_list=&qstnid=1719062&qa_list=&qstn_id4=1719062&study_list=&lastSearchId=317673058582&archno=USPEW2008-10MID&keywordDisplay=",51,0,13,0,33,0,3,0,0,,8,N,N,Y,"3,016",telephone,,,L,DYHTK,N,dk (33%) = Don't know-Heard different things (13%) + Don't know-Haven't heard enough (20%); landline(2264)/cellular(752)
28,Y,Obama Religion,CBS News/New York Times,CBS News/New York Times,0,10/10-13/08,"Do you know what Barack Obama's religion is? (If Yes, ask:) What religion is he?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=October 10-13, 2008&sample=1070&qstn_list=&qstnid=1718044&qa_list=&qstn_id4=1718044&study_list=&lastSearchId=317673058582&archno=USCBSNYT2008-10B&keywordDisplay=",26,0,17,0,57,0,0,0,0,,0,N,N,Y,"1,070",telephone,,,L,DYK,N,Don't know/No answer (57%)
29,Y,Obama Religion,Princeton Survey Research Associates International,Pew Research Center for the People and the Press,1,09/09-14/08,"Now, thinking about Barack Obama's religious beliefs・Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnostic, or something else? (If Don't know, probe:) Is that because you've heard of different things about his religion, or because you don't know enough about him?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Pew Research Center for the People & the Press&studydate=September 9-14, 2008&sample=2982&qstn_list=&qstnid=1716284&qa_list=&qstn_id4=1716284&study_list=&lastSearchId=317673058582&archno=USPEW2008-09MID&keywordDisplay=",48,0,17,0,33,0,2,0,0,,8,N,N,Y,"2,982",telephone,,,L,DYHTK,N,dk (33%) = Don't know-heard different things (18%) + Don't know-haven't heard enough (15%); landline(2250)/cellular(732)
30,Y,Obama Religion,Knowledge Networks,AP/Yahoo,0,08/27/08-09/05/08,"Do you happen to know the religion of each of the following (2008 presidential election) candidates? If you don't know, you can mark that too・Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion・Barack Obama","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Associated Press, Yahoo&studydate=01-JAN-34&sample=2227&qstn_list=&qstnid=1758551&qa_list=&qstn_id4=1758551&study_list=&lastSearchId=317673058582&archno=&keywordDisplay=",36,0,24,0,38,0,1,0,0,,8,Y,N,Y,"2,227",online,,,L,DYHTK,N,
31,Y,Obama Religion,Hart and Newhouse Research Companies,NBC News/WSJ,0,07/18-21/08,"Do you know what Barack Obama's religion is? (If Yes, ask:) What religion is he?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=NBC News, Wall Street Journal&studydate=July 18-21, 2008&sample=1074&qstn_list=&qstnid=1711566&qa_list=&qstn_id4=1711566&study_list=&lastSearchId=317673058582&archno=USNBCWSJ2008-6084&keywordDisplay=",48,0,13,0,0,39,0,0,0,,0,N,N,Y,"1,074",telephone,,,L,DYK,N,"Not sure/Refused (39%); Protestant (48%), Catholic (2%), Muslim (8%), Other (2%), None (1%)"
